Text	Class
Next part	NOT
"Iii8mllllllm
Mdxfvb8o90lplppi0005"	NOT
🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this	NOT
"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂"	NOT
"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements"	NOT
"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks."	NOT
Best topic for Law Students !	NOT
"Even when kabir singh was unaware that Preeti is having his son he was ready
to accept other's baby and was ready to give his name though that was his baby
but still he was ready to accept preeti even after thinking she has sex with
other guy and feminists would not see this."	OFF
She is wrong .	NOT
6001733614	NOT
Hindi old muvi	NOT
rait	NOT
Very well said dude, totally agree.	NOT
👌👌👌👌👌right	NOT
"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart."	OFF
Our Role Model - Shwetabh > Kabir ❤️	NOT
"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though"	NOT
she best arbitrator in kamatipura & sonargachi area settlements	NOT
Yeah man **Fuck Bollywood** and become **mature** in real life!	NOT
"It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂..
Thoko like"	OFF
"Sahi kaha 😂🤣  
Logic level ---- Bollywood"	NOT
its not good i think its all dimaghi keeda being a gay or lesbian..	NOT
giving the movie review of super 30?	NOT
"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral"	NOT
"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are."	NOT
Exactly. That was 100000000000x better than shitty kabir singh.	NOT
Chhichhore review	NOT
@mohammad ismail xc	NOT
"feminism means equality not discrimination first you should learn about this
go and study about feminism."	OFF
Like Baahubali.	NOT
"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans"	NOT
"Full support 💪🙌 bro  
Keep it up 👍"	NOT
"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide."	NOT
I was waiting for it.... Very honest opinion	NOT
OMG 😱	NOT
Llovu	NOT
You are Right broo thanks	NOT
"she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country and
behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat ."	NOT
"Watch this amazing video
[https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop](https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop)"	NOT
hats off brother	NOT
Too much spoiler 🙄🙄🙄 Change Title 😒😒	NOT
"but can you catch them, no....if yes fial complian agaist them in court and
punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them"	NOT
"By the way i myself being a 21st century modern girl, i did not watch four
more shots as i found the trailer and the interviews of the cast very
disturbing. Feminism is losing it’s real agenda i.e equality of gender, but
becoming an advocate of all sort of sexual shit. Feminism is much more than
sexual freedom, i request all my fellow girls to not get carried away by such
ideas."	OFF
Ranu is a bad girl 👍👍😸😆😂	NOT
Looks like a ghost, real conjuring	OFF
The world needs more men like you	NOT
**Correct**	NOT
"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster."	OFF
"The whole Bollywood premise is showing a life people dream about and not
realism. It's a form of escapism from reality."	NOT
Salute to you sir,great thinking	NOT
