Text	Class
rt justdoitrob kaaarlizzi bitch love laughlol	OFF
color everi day sunday	NOT
 ur brother look queer ugli	OFF
sister bitch dont get way	OFF
pornandroidiphoneipadsexxxx  hairi  hairi pussi 	OFF
 im drunk hoe bro solo dolo	OFF
feel like gon homo revalut round dis bitch deez nigga expandin	OFF
eanah girl want shit grow hoe bout 	OFF
 red neck ice bucket challeng   must sip redneck	NOT
bitch quick nigga babi supris take care	OFF
nobeeetch faggot ass fuck snitch	OFF
aint worri nigga takin bitch	OFF
 uceina nawwww hoe sittin floor damn  birthday feb  nope	OFF
rt amberrrnicolll your fake bitch hahaha	OFF
instead join sport team hoe join twerk team	OFF
bitch alreadi twerkin cinegram shit may jus better instagram	OFF
aint cut hair u hoe hc	OFF
 mad like  min got hit right back lol care niggah  	OFF
 leav beaner retard	OFF
katelynlomax im nig 	OFF
boy  rt  hoe set failur shit funni im sleep tho  	OFF
may may least  fob relat tattoo alreadi plan	NOT
sick hear ap kid bitch oh poor  gpa one care	OFF
imdevincarlson trash	NOT
datboyrayt support lesbian support faggot there differ	OFF
yall bitch like yall ass ate lmfao	OFF
chit shake monkey beeotch 	OFF
freddyamazin ratchet look nigger	OFF
coor light trash yuck dont even like beer	NOT
hell would freez ever let bitch kick fuckin face	OFF
rt induztriouzneo strong believ bird feather flock togeth	NOT
confess im autist someth thought aerosmith dreamon ledzeppelin like yesterday retard	NOT
rt kyannesmith rahshauna arent bitch	OFF
japanes matur cat spot old pussi split wide fill  	OFF
earli bird get worm second mous get chees	NOT
 stripper sexi hoe follow man	OFF
lol im curv bitch like im taken	OFF
chemicalkidss bitch look like fuck white trash trailer park queen lookin man bear pig 	OFF
hope make moneyylol rt  aye whr da hoe	OFF
istric hairi like monkey  p	NOT
withaprettyfac  bet bitch   kim bye	OFF
evettecoleman lol true want fri oreo	NOT
rt uberbuilshit recent harvard studi conclud bitch fact trippin	OFF
bitch brought food said surpris thirsti bitch	OFF
rt iameviltebow man order  inch sandwich subway pussi bitch fact	OFF
bitch penetr introduc bitch	OFF
hahahaha fuck pussi kevinlov kingjam cav	OFF
bitch sound like shes gettin rape othercat lmfaoo thefuckkkk close window whore cat	OFF
 know wtf bitch	OFF
oskzilla san diego niggah	OFF
