Text	Class
small note sensibl peopl aroundðÿ'‡ðÿ»  understand help save save human  savethedoctor doctorsfightback savebeng 	NOT
decis respons bomb mbs murder liar 	OFF
doctorsfightback new india agit fraud leader bengal cm lost mental balanc amp sympathi terrorist rohingya put entir state jeopardysavedoctor agit also demand savebengalsavedemocraci istandwithnr 	OFF
â€œas prepar bright futur brexit itâ€™ vital renew tie bind unit kingdom import project like growth deal â€“ today back â£ new fund â€“ open opportun across unionâ€  pm borisjohnson	NOT
infact rate  star  like done good deed done zomato expos pervert  â€¦	NOT
gandinaaliabus  mp say cut throat muslim everyon silent wari pathan mla aimim  advoc	OFF
new law fake promis come     savethedoctor  savethesaviour   doctorsstrik   doctorsagainstassualt   doctorsfightback 	NOT
jasonoverstreet ewarren ewarren way whitehous ðÿ'¥ fucktrump	NOT
woh toh zomato ko bhiksha de raha tha	NOT
hypocrisi audac stonefac liar presid protectlgbtq humanright fucktrump pride notmypresid    pride month trump noth proud activist say  	OFF
polic brutal brought punjabgovtindia akalid  wipe punjab  didnt learn repeat delhi ðÿ˜‚  agl elect mein karaara jawaab milega fuckbjp fuckdelhipolic fucknda	OFF
im doctor lie drug alcohol consumpt pictwittercombzbzhkihz	NOT
guess cant rich thin commit treason mani time    trumpisatraitor	NOT
fucktrump fuck republican enabl 	OFF
hey everybodi releas new singl entitl â€œfor peopleâ€ could take minut day give listen share like would great great appreci punkrock politicalpunk newmus fucktrump 	NOT
mamatalosingcontrol  istandwithnr  doctorsfightback  savethedoctor  doctorsagainstassualt    goa medic colleg protest 	OFF
smritiirani myogiadityanath  amitshah rsprasad  maam status women safeti your rule becom wors realli road becom safe demonthey attack soul human high time step updeathpenalti twinklesharma rapist	NOT
bori johnsonâ€™ first visit ni pm said act complet imparti claim immedi dismiss sinn fein laughabl pgmcnamara report belfast	NOT
narcissist new king   ojsimpson ojsimpsonisamurder narciss delusion murder	NOT
realdonaldtrump dont believ poll rememb    senileaf stablegenius racist rapist pervert treason resist unstablepresid 	NOT
 keep prais kimjongun crimin murder dictat somebodi great leadership wrote beauti letter wtf	OFF
thank lot trump cant even keep nba titl usa first time ever nbafin nba fucktrump  raptor	OFF
basic borisjohnson tell truth tell truth made promis came nowher close deliv seem care motiv unlik welfar borisjohnsonshouldnotbepm 	OFF
layleen polanco  tran woman found dead us year resist resisttrump fucktrump 	OFF
icc shameonicc  icc  hutterflop host  worest world cup ever seen	OFF
