,Text,Class
0,west bengal doctor crisi protest doctor agre meet mamata banerje presenc full media even ima goe strike  ,NOT
1, million peopl forc leav home      read   refuge societi,NOT
2,came saw  look fort good luck ,NOT
3,well get brexit deliv octob     help build movement       backbori borisjohnson,NOT
4,fuck go back dark age cow ibnliverealtim rape happen men women interact freeli mamata,OFF
5,bori johnson face suprem court bid make stand trial â€˜li misleadingâ€™ brexit campaign  â€¦,NOT
6,refund serv halala muslim regular ad onion jain food  food carri religion ,NOT
7,general elect dup dump tori power weaken way,NOT
8,repost freewick  â€¢ â€¢ â€¢ â€¢ â€¢ â€¢  freewick freethekid terrorist americanterrorist fucktrump donaldtrump fuckdonaldtrump notothewal nowal  shoot justiceforthekid nomoregunviol gunviolenceâ€¦  â€¦,NOT
9,jesus christ christian news illuminati chang bibl gay comedi book god bestial sex peter run around nake king david bow muslim way gay lover johnathan wink mark incest vers jesus wear girdl men milk  â€¦ ,OFF
10,even true muslim support zakirthey knkmow promot terror name islam bring disgrac religioni knowthat chutiyappa sinc  yearsthank god peopl realiz nowzakirnaik,OFF
11,kerala halal    cours sickular bastion    serv pork    lol high unlik district  muslim popul church bishop beaten serv pork nonmuslim student kerala lol,OFF
12,look sweeti itâ€™ simpl jain ask veg food get non veg complain itâ€™ zomatoâ€™ duti address problem person deliv food zomato within right say fuck case halal food simpl na,OFF
13, fifth popul poverti affect poorest vulner  borisjohnson caus â£ spent brexit intend spend â£ deal propaganda  bloodi asham vaniti project notmypm,OFF
14,bengal doctor crisi state pull ayushman bharat poor worst affect mamataâ€™ apathi    ,NOT
15,john one top councillor thank john appreci hard work,NOT
16,exploreislam told islam fair point discuss   islam disgrac treat women unequ societi would western countri politician want import cult sheer mad,OFF
17,shit take backdoor instead front public,OFF
18,kathi zhu support presid trump strip titl comment africanamerican muslim,NOT
19,turn westminst collaps govern shout sidelin total unconstruct actual someth could,NOT
20,consid dumb fuck countri illiter dumb fuck peopl wont surpris maya mamata akhil fuse one big buffalo becom pm,OFF
21,ur kind inform halala islam stop spread misinform also u dont know anyth talaq shut   ps tripletalaq talaq islam r  go get ur fact right  tripletalaqbil,NOT
22,go write side bus,NOT
23,douch bag go realiz econom gain continu trend obama administr  also dont negat racist asshol  like batter wife make excus stay relationship  fucktrump ,OFF
24,internet spawn  fascism resist resisttrump fucktrump ,NOT
25,well cricket fanat reach icc check say calcul throw stay stay field umpir decis part deal isnt fuck rule book,OFF
26,kolkata muslim write mamata banerje donâ€™t let culprit attack doctor ushoshi get away muslim  ,NOT
27,remainbacklash  brexit brexitshambl brexit ukip stopbrexit leav fbpe  despitebrexit cleanbrexit brexitbritain eu     peoplesvotemarch peoplesvot fbpe  ,NOT
28,love zomatokudo repli istandwithzomato,NOT
29,think british peopl take lie nigel farag see futur say give chanc nigel like rumour hear today hope true,NOT
30,democrat presidenti candid commit end trump muslim ban day one presid â€“ candid need    call everi particip week demdeb join repealtheban,NOT
31,halala never part islam lekin halala ke naam par mull khoob maje le rabe tumahri maa behan beti ke aur tum bhi maje se dekh rahe unki izzat lutat huy ais baat baat par bomd fod dete ho lekin ek bhi muslim londa inn mullon ke kuch nahi bolta dhikkar hai,OFF
32,good friday agreement deal trump,NOT
33,todayâ€™ day  see belmor park  great speaker    stage hay st side belmor park  weâ€™ll march victoria park along broadway   auspol bringthemher refugeesarewelcom ,NOT
34,word corbyn u get chanc oppos brexit whole thing would probabl fail histori allow tori stay power keep go nonsens,NOT
35,sf campaign abstentionist polici call take seat ask reneg promis made elector would swear allegi foreign monarch dislik sf mess make ,NOT
36,pleas power bring british govern  sake support confid vote thank,NOT
37,karyakarta abvp assam protest tyrann rule mamata banerje even doctor safe     abvp strong condemn attack junior doctor nrs colleg kolkata demand perpetr held doctor serv justic ,NOT
38,lack flesh face either metaphor indic disgrac  wretched would actual happen symptom sin punish thereof  avers beg mention bring shame world  hereaft,NOT
39,mani hindus arrest hindus arewhat fuck mani angri savebeng sali mamata,OFF
40,ten year ago nick griffin appear bbcqt caus furor duli taken apart guest  bbc routin featur fawn interview farright scumbag steve bannon want train armi discipl disrupt west  get grip bbc,NOT
41,swiggi cri kitchen rn    zomato,NOT
42,rememb major english separatist scot,OFF
43,watch â€œdr qanta ahm rep omar disgrac islamâ€ youtub  â€¦,OFF
44,still alway fucktheredhat fuckrac fucktrump  â€¦,NOT
45,senatedem housedemocrat fuck job fucktrump vote need worri whoâ€™ gonna vote democrat non work ass speakerpelosi senschum,OFF
46,trumpâ€™ stori almost die helicopt crash lie former trump org exec resist resisttrump fucktrump ,NOT
47,marin veteran wasnâ€™t fan presid serv time stuck oath serv constitut left right matter serv left veteran find disturb mani veteran makeamericawhiteagain fucktrump,NOT
48,hindu mob lynch muslim doctor everi polit leader modi mamata rahul nitish kejri would announc slew compens visit victim elabor man ki baat mujh maro mera doctor ko maat maro maat maro mere bhaiyon hindus disown,NOT
49,familiesbelongtogeth trend sf       michaelavenatti washingtondc dc impeachtrump whitehous washingtondc dc   impeach resist familiesbelongtogeth vote nomuslimban nomuslimbanev keepfamiliest,NOT
50,yes bori agre v earli transit period deal struck common sens approv round back long lost day      good deal still want leav next day simpli isnt necessari practic,NOT
51,least told basic fuck ,OFF
52,â€œmojorojo sorri call paranoid behaviour sane person scari fuck   mamataâ€,OFF
53,yeah kinda taqiyya done convinc moron like read quran  quot call violenc multipl quot call take kaffir women sex slave someth moham encourag muslim consid ideal human,OFF
54,omar allow take oath offic koran disgrac follow islam differ radic  moder follow    radic worship allah behead  moder worship allah radic behead    harbing ,OFF
55,averag guy still trust mamata dont fuck like commi much stake state,OFF
56,dear zomato what wrong cancel food deliv muzlim deliveri boy    forget srilanka mix steril pill food    forget mumbai  muzlim boy tri poison prashad consum  devote    time wake guy,NOT
57, talk becom hate ie islam western idea total ludicr utter disgrac semisecular philosoph treasur india given world millennia,NOT
58,nyasa time  malawi activist pen icc hrdc opposit â€˜crime humanityâ€™  ,NOT
59,ive problem  fulli federalis alway expect happen want make sure countri isnt part,NOT
60,simpl math keep republican night resist resisttrump fucktrump ,NOT
61,ye hain bankey bihari  ye  juli ko hi bharte huay hain troll armi mein   inki bhasha dekhiy  maa baap se bhi ye shayad ais hi baat karta hoga   kaash ye shakha ki jaga school gaya hota   may maa durga eas pain achiev anyth except trollship life ,NOT
62,hi borisjohnson â€” glblctzn stand solidar world poorest peopl want  pleas continu protect ukaid ensur deliv primari goal end extrem poverti independ dfiduk,NOT
63,govern polit polit democrat republican elect vote teaparti leftw rightw notmypresid presid twofacedrepublican hypocrisi hypocrit trump donaldtrump fucktrumpâ€¦  â€¦,NOT
64,thank persist need togeth need keep love flow need togeth number fight win countri back need love hate  fucktrump votebluetosaveamerica,NOT
65,tmc facil bagla film atrist save polit futur mamata banerji shame,NOT
66,arab maulana say     muslim rape women  get pregnant gave birth daughter    daughter haram father  father marryrapesex slave daughter allah great ,OFF
67,icc test championship stupid idea pakistan newziland play  seri india england aistralia play   teast match,NOT
68,speak  act just  walk humbl refugeesarewelcom asylumseekerswelcom,NOT
69,fundement essenti might posit huge import,NOT
70,mamata banerji peopl chant jai shri ram  ,NOT
71,say idea logic experi arlen logic dup think dilut   union curtain,NOT
72,would never vote trump go win big shit like dem r buri deserv lose messag trump hitler fucktrump,OFF
73,fuck mamata banerje fuck dictatori selfimport fuck box craze delus came,OFF
74,muslim mp hous favour teen talaq bill teen talaq stop scope call mps oppos mp mulla maulvi imam perform halala addit sex ladi hous ghulamnazad omarabdullah  ahmedpatel,OFF
75,basic mamata tag protest whatev enemi day bjp tri hijack protest nrs doctor told fuck,OFF
76,dr qanta ahm rep omar disgrac islam ,OFF
77,love love dreami photoshoot sex hindumuslim coupl goe viral  â€¦ via indiatim love beauti form refresh natur pic,NOT
78,correct pull driver pedestrian  cyclist observ obey law may approach start convers  hand certif done temp still stupid  idea,NOT
79,support trump support racism bigotri homophobia polici  familiesbelongtogeth blacklivesmatt nomuslimbanev transrightsarehumanright gaymarriag loveislov,OFF
80,prime focus morn speak loud confid possibl whilst actual spout incoher stream shit conceiv,NOT
81,time us stand togeth face tori belliger maryloumcdonald  ,NOT
82,lolbecaus sec  separatist extremist abl els would never abl domin moreoverwhi dogra  kashmiri pandit sex  noth muslim kashmir outsid hindu communist want safeguard,OFF
83,whenev said modi ji  bhakt like  boycottzomato   zomato   istandwithamit iss pappu koi pata batayega jisn ye amit wala trend start kiya  ccdmemori,NOT
84,spotifi  million pay subscrib appl music  fucktrump ,NOT
85,id alway get realli confus muslim substitut teacher would mispronounc name class realli tell ass doesnt know say saif,OFF
86,expect know parti believ halala ,OFF
